time,xpos,ypos,zpos,xori,yori,zori,wori1543796920.181163812,0.0420382,-0.000625703,2.47709,0.0046376,0.0585432,-0.0067445,0.998251
1543796920.285753449,0.0432129,-0.000604458,2.48167,0.00471869,0.0578806,-0.00652882,0.998291
1543796920.413283418,0.0452503,-0.0010744,2.48248,0.00458219,0.0577434,-0.0064968,0.9983
1543796920.517663443,0.043455,-0.00273154,2.48131,0.00439854,0.0579266,-0.00686128,0.998288
1543796920.618884000,0.041675,-0.00288389,2.47793,0.00450389,0.0582457,-0.00677546,0.998269
1543796920.745367127,0.0430275,-0.00240912,2.48053,0.00454088,0.0580628,-0.00667286,0.99828
1543796920.848413621,0.0466582,-0.00361065,2.47798,0.00442943,0.0576593,-0.0065718,0.998305
1543796920.958112643,0.0471576,-0.00198565,2.479,0.00460968,0.0575795,-0.00650812,0.998309
1543796921.082905982,0.0467665,-0.00200257,2.47862,0.00465175,0.0577076,-0.00666128,0.9983
1543796921.184716862,0.0499761,-0.0033814,2.48034,0.0043782,0.0572411,-0.00667157,0.998328
1543796921.291954093,0.048768,-0.00294404,2.48031,0.00443436,0.0573725,-0.00626456,0.998323
1543796921.416322859,0.0485023,-0.00285056,2.48021,0.00444489,0.0573895,-0.00649843,0.998321
1543796921.519124456,0.0486961,-0.00155303,2.48099,0.00463911,0.057383,-0.0067156,0.998319
1543796921.626082848,0.0488901,-0.00292596,2.47979,0.00442581,0.0573365,-0.00658423,0.998323
1543796921.746590816,0.0497133,-0.00276717,2.47828,0.00442145,0.0573719,-0.00599795,0.998325
1543796921.851821653,0.0479922,-0.00282978,2.47756,0.00448701,0.0574521,-0.0067234,0.998316
1543796921.967697742,0.0478884,-0.00379226,2.47872,0.00446409,0.0574176,-0.00664508,0.998318
1543796922.108575286,0.0465948,-0.00399683,2.47966,0.00434343,0.0576085,-0.00671215,0.998307
1543796922.214839784,0.0470333,-0.00580272,2.47888,0.00422938,0.0575951,-0.00697982,0.998307
1543796922.329193461,0.0451365,-0.00514569,2.47611,0.00445067,0.057828,-0.00687888,0.998293
1543796922.435099912,0.0468632,-0.00411915,2.47772,0.00442224,0.0576742,-0.00687062,0.998302
